team_id,meeting_id,agenda_item_id,turn_id,turn_position,speaker_role,is_junior,text,is_critical,ai_suggestion_visible,sequence_condition,accountability
T1,T1_M2,T1_M2_A2,26,2,senior_eng,0,Synthetic utterance offering neutral progress updates under AI_FIRST with accountability.,0,1,AI_FIRST,1
T1,T1_M2,T1_M2_A2,27,3,senior_eng,0,Synthetic utterance offering neutral progress updates under AI_FIRST with accountability.,0,1,AI_FIRST,1
T1,T1_M2,T1_M2_A2,28,4,junior_eng,1,Synthetic utterance offering neutral progress updates under AI_FIRST with accountability.,0,1,AI_FIRST,1
T1,T1_M2,T1_M2_A2,29,5,director,0,Synthetic utterance offering neutral progress updates under AI_FIRST with accountability.,0,1,AI_FIRST,1
T1,T1_M2,T1_M2_A2,30,6,senior_eng,0,Synthetic utterance raising a concern about trade-offs and risks under AI_FIRST with accountability.,1,1,AI_FIRST,1
T1,T1_M2,T1_M2_A3,31,1,junior_eng,1,Synthetic utterance offering neutral progress updates under AI_FIRST with accountability.,0,1,AI_FIRST,1
T1,T1_M2,T1_M2_A3,32,2,senior_eng,0,Synthetic utterance raising a concern about trade-offs and risks under AI_FIRST with accountability.,1,1,AI_FIRST,1
T1,T1_M2,T1_M2_A3,33,3,senior_eng,0,Synthetic utterance offering neutral progress updates under AI_FIRST with accountability.,0,1,AI_FIRST,1
T1,T1_M2,T1_M2_A3,34,4,director,0,Synthetic utterance offering neutral progress updates under AI_FIRST with accountability.,0,1,AI_FIRST,1
T1,T1_M2,T1_M2_A3,35,5,junior_eng,1,Synthetic utterance offering neutral progress updates under AI_FIRST with accountability.,0,1,AI_FIRST,1
T1,T1_M2,T1_M2_A3,36,6,director,0,Synthetic utterance offering neutral progress updates under AI_FIRST with accountability.,0,1,AI_FIRST,1
T1,T1_M3,T1_M3_A1,37,1,director,0,Synthetic utterance offering neutral progress updates under STATUS_QUO with no accountability.,0,0,STATUS_QUO,0
T1,T1_M3,T1_M3_A1,38,2,junior_pm,1,Synthetic utterance offering neutral progress updates under STATUS_QUO with no accountability.,0,0,STATUS_QUO,0
T1,T1_M3,T1_M3_A1,39,3,director,0,Synthetic utterance offering neutral progress updates under STATUS_QUO with no accountability.,0,0,STATUS_QUO,0
T1,T1_M3,T1_M3_A1,40,4,director,0,Synthetic utterance raising a concern about trade-offs and risks under STATUS_QUO with no accountability.,1,0,STATUS_QUO,0
T1,T1_M3,T1_M3_A1,41,5,junior_pm,1,Synthetic utterance offering neutral progress updates under STATUS_QUO with no accountability.,0,0,STATUS_QUO,0
T1,T1_M3,T1_M3_A1,42,6,junior_eng,1,Synthetic utterance offering neutral progress updates under STATUS_QUO with no accountability.,0,0,STATUS_QUO,0
T1,T1_M3,T1_M3_A2,43,1,senior_eng,0,Synthetic utterance offering neutral progress updates under STATUS_QUO with no accountability.,0,0,STATUS_QUO,0
T1,T1_M3,T1_M3_A2,44,2,director,0,Synthetic utterance offering neutral progress updates under STATUS_QUO with no accountability.,0,0,STATUS_QUO,0
T1,T1_M3,T1_M3_A2,45,3,junior_eng,1,Synthetic utterance offering neutral progress updates under STATUS_QUO with no accountability.,0,0,STATUS_QUO,0
T1,T1_M3,T1_M3_A2,46,4,junior_eng,1,Synthetic utterance offering neutral progress updates under STATUS_QUO with no accountability.,0,0,STATUS_QUO,0
T1,T1_M3,T1_M3_A2,47,5,junior_eng,1,Synthetic utterance raising a concern about trade-offs and risks under STATUS_QUO with no accountability.,1,0,STATUS_QUO,0
T1,T1_M3,T1_M3_A2,48,6,junior_eng,1,Synthetic utterance offering neutral progress updates under STATUS_QUO with no accountability.,0,0,STATUS_QUO,0
T1,T1_M3,T1_M3_A3,49,1,director,0,Synthetic utterance offering neutral progress updates under STATUS_QUO with no accountability.,0,0,STATUS_QUO,0
T1,T1_M3,T1_M3_A3,50,2,director,0,Synthetic utterance raising a concern about trade-offs and risks under STATUS_QUO with no accountability.,1,0,STATUS_QUO,0
T1,T1_M3,T1_M3_A3,51,3,senior_eng,0,Synthetic utterance offering neutral progress updates under STATUS_QUO with no accountability.,0,0,STATUS_QUO,0
T1,T1_M3,T1_M3_A3,52,4,director,0,Synthetic utterance raising a concern about trade-offs and risks under STATUS_QUO with no accountability.,1,0,STATUS_QUO,0
T1,T1_M3,T1_M3_A3,53,5,senior_eng,0,Synthetic utterance offering neutral progress updates under STATUS_QUO with no accountability.,0,0,STATUS_QUO,0
T1,T1_M3,T1_M3_A3,54,6,junior_eng,1,Synthetic utterance offering neutral progress updates under STATUS_QUO with no accountability.,0,0,STATUS_QUO,0
T1,T1_M4,T1_M4_A1,55,1,junior_eng,1,Synthetic utterance offering neutral progress updates under HUMAN_FIRST with no accountability.,0,0,HUMAN_FIRST,0
T1,T1_M4,T1_M4_A1,56,2,junior_pm,1,Synthetic utterance offering neutral progress updates under HUMAN_FIRST with no accountability.,0,0,HUMAN_FIRST,0
T1,T1_M4,T1_M4_A1,57,3,junior_pm,1,Synthetic utterance offering neutral progress updates under HUMAN_FIRST with no accountability.,0,0,HUMAN_FIRST,0
T1,T1_M4,T1_M4_A1,58,4,junior_eng,1,Synthetic utterance offering neutral progress updates under HUMAN_FIRST with no accountability.,0,0,HUMAN_FIRST,0
T1,T1_M4,T1_M4_A1,59,5,director,0,Synthetic utterance offering neutral progress updates under HUMAN_FIRST with no accountability.,0,0,HUMAN_FIRST,0
T1,T1_M4,T1_M4_A1,60,6,junior_pm,1,Synthetic utterance offering neutral progress updates under HUMAN_FIRST with no accountability.,0,0,HUMAN_FIRST,0
T1,T1_M4,T1_M4_A2,61,1,senior_eng,0,Synthetic utterance offering neutral progress updates under HUMAN_FIRST with no accountability.,0,0,HUMAN_FIRST,0
T1,T1_M4,T1_M4_A2,62,2,director,0,Synthetic utterance offering neutral progress updates under HUMAN_FIRST with no accountability.,0,0,HUMAN_FIRST,0
T1,T1_M4,T1_M4_A2,63,3,senior_eng,0,Synthetic utterance offering neutral progress updates under HUMAN_FIRST with no accountability.,0,0,HUMAN_FIRST,0
T1,T1_M4,T1_M4_A2,64,4,junior_pm,1,Synthetic utterance offering neutral progress updates under HUMAN_FIRST with no accountability.,0,0,HUMAN_FIRST,0
T1,T1_M4,T1_M4_A2,65,5,director,0,Synthetic utterance offering neutral progress updates under HUMAN_FIRST with no accountability.,0,0,HUMAN_FIRST,0
T1,T1_M4,T1_M4_A2,66,6,junior_pm,1,Synthetic utterance offering neutral progress updates under HUMAN_FIRST with no accountability.,0,0,HUMAN_FIRST,0
T1,T1_M4,T1_M4_A3,67,1,junior_eng,1,Synthetic utterance offering neutral progress updates under HUMAN_FIRST with no accountability.,0,0,HUMAN_FIRST,0
T1,T1_M4,T1_M4_A3,68,2,director,0,Synthetic utterance offering neutral progress updates under HUMAN_FIRST with no accountability.,0,0,HUMAN_FIRST,0
T1,T1_M4,T1_M4_A3,69,3,junior_eng,1,Synthetic utterance offering neutral progress updates under HUMAN_FIRST with no accountability.,0,0,HUMAN_FIRST,0
T1,T1_M4,T1_M4_A3,70,4,senior_eng,0,Synthetic utterance offering neutral progress updates under HUMAN_FIRST with no accountability.,0,0,HUMAN_FIRST,0
T1,T1_M4,T1_M4_A3,71,5,junior_pm,1,Synthetic utterance offering neutral progress updates under HUMAN_FIRST with no accountability.,0,0,HUMAN_FIRST,0
T1,T1_M4,T1_M4_A3,72,6,junior_eng,1,Synthetic utterance offering neutral progress updates under HUMAN_FIRST with no accountability.,0,0,HUMAN_FIRST,0
T2,T2_M1,T2_M1_A1,73,1,senior_eng,0,Synthetic utterance raising a concern about trade-offs and risks under AI_FIRST with accountability.,1,1,AI_FIRST,1
T2,T2_M1,T2_M1_A1,74,2,junior_pm,1,Synthetic utterance offering neutral progress updates under AI_FIRST with accountability.,0,1,AI_FIRST,1
T2,T2_M1,T2_M1_A1,75,3,senior_eng,0,Synthetic utterance offering neutral progress updates under AI_FIRST with accountability.,0,1,AI_FIRST,1
T2,T2_M1,T2_M1_A1,76,4,junior_eng,1,Synthetic utterance offering neutral progress updates under AI_FIRST with accountability.,0,1,AI_FIRST,1
T2,T2_M1,T2_M1_A1,77,5,junior_eng,1,Synthetic utterance offering neutral progress updates under AI_FIRST with accountability.,0,1,AI_FIRST,1
T2,T2_M1,T2_M1_A1,78,6,junior_pm,1,Synthetic utterance offering neutral progress updates under AI_FIRST with accountability.,0,1,AI_FIRST,1
T2,T2_M1,T2_M1_A2,79,1,junior_eng,1,Synthetic utterance offering neutral progress updates under AI_FIRST with accountability.,0,1,AI_FIRST,1
T2,T2_M1,T2_M1_A2,80,2,junior_pm,1,Synthetic utterance raising a concern about trade-offs and risks under AI_FIRST with accountability.,1,1,AI_FIRST,1
T2,T2_M1,T2_M1_A2,81,3,senior_eng,0,Synthetic utterance raising a concern about trade-offs and risks under AI_FIRST with accountability.,1,1,AI_FIRST,1
T2,T2_M1,T2_M1_A2,82,4,junior_pm,1,Synthetic utterance offering neutral progress updates under AI_FIRST with accountability.,0,1,AI_FIRST,1
T2,T2_M1,T2_M1_A2,83,5,junior_pm,1,Synthetic utterance offering neutral progress updates under AI_FIRST with accountability.,0,1,AI_FIRST,1
T2,T2_M1,T2_M1_A2,84,6,director,0,Synthetic utterance offering neutral progress updates under AI_FIRST with accountability.,0,1,AI_FIRST,1
T2,T2_M1,T2_M1_A3,85,1,director,0,Synthetic utterance offering neutral progress updates under AI_FIRST with accountability.,0,1,AI_FIRST,1
T2,T2_M1,T2_M1_A3,86,2,senior_eng,0,Synthetic utterance offering neutral progress updates under AI_FIRST with accountability.,0,1,AI_FIRST,1
T2,T2_M1,T2_M1_A3,87,3,director,0,Synthetic utterance offering neutral progress updates under AI_FIRST with accountability.,0,1,AI_FIRST,1
T2,T2_M1,T2_M1_A3,88,4,junior_pm,1,Synthetic utterance offering neutral progress updates under AI_FIRST with accountability.,0,1,AI_FIRST,1
T2,T2_M1,T2_M1_A3,89,5,junior_pm,1,Synthetic utterance offering neutral progress updates under AI_FIRST with accountability.,0,1,AI_FIRST,1
T2,T2_M1,T2_M1_A3,90,6,junior_eng,1,Synthetic utterance offering neutral progress updates under AI_FIRST with accountability.,0,1,AI_FIRST,1
T2,T2_M2,T2_M2_A1,91,1,junior_eng,1,Synthetic utterance offering neutral progress updates under HUMAN_FIRST with accountability.,0,0,HUMAN_FIRST,1
T2,T2_M2,T2_M2_A1,92,2,senior_eng,0,Synthetic utterance offering neutral progress updates under HUMAN_FIRST with accountability.,0,0,HUMAN_FIRST,1
T2,T2_M2,T2_M2_A1,93,3,senior_eng,0,Synthetic utterance offering neutral progress updates under HUMAN_FIRST with accountability.,0,0,HUMAN_FIRST,1
T2,T2_M2,T2_M2_A1,94,4,director,0,Synthetic utterance offering neutral progress updates under HUMAN_FIRST with accountability.,0,0,HUMAN_FIRST,1
T2,T2_M2,T2_M2_A1,95,5,junior_pm,1,Synthetic utterance offering neutral progress updates under HUMAN_FIRST with accountability.,0,0,HUMAN_FIRST,1
T2,T2_M2,T2_M2_A1,96,6,senior_eng,0,Synthetic utterance offering neutral progress updates under HUMAN_FIRST with accountability.,0,0,HUMAN_FIRST,1
T2,T2_M2,T2_M2_A2,97,1,junior_pm,1,Synthetic utterance offering neutral progress updates under HUMAN_FIRST with accountability.,0,0,HUMAN_FIRST,1
T2,T2_M2,T2_M2_A2,98,2,junior_pm,1,Synthetic utterance offering neutral progress updates under HUMAN_FIRST with accountability.,0,0,HUMAN_FIRST,1
T2,T2_M2,T2_M2_A2,99,3,junior_eng,1,Synthetic utterance offering neutral progress updates under HUMAN_FIRST with accountability.,0,0,HUMAN_FIRST,1
T2,T2_M2,T2_M2_A2,100,4,director,0,Synthetic utterance offering neutral progress updates under HUMAN_FIRST with accountability.,0,0,HUMAN_FIRST,1
T2,T2_M2,T2_M2_A2,101,5,junior_pm,1,Synthetic utterance offering neutral progress updates under HUMAN_FIRST with accountability.,0,0,HUMAN_FIRST,1
T2,T2_M2,T2_M2_A2,102,6,director,0,Synthetic utterance offering neutral progress updates under HUMAN_FIRST with accountability.,0,0,HUMAN_FIRST,1
T2,T2_M2,T2_M2_A3,103,1,senior_eng,0,Synthetic utterance raising a concern about trade-offs and risks under HUMAN_FIRST with accountability.,1,0,HUMAN_FIRST,1
T2,T2_M2,T2_M2_A3,104,2,senior_eng,0,Synthetic utterance offering neutral progress updates under HUMAN_FIRST with accountability.,0,0,HUMAN_FIRST,1
T2,T2_M2,T2_M2_A3,105,3,senior_eng,0,Synthetic utterance raising a concern about trade-offs and risks under HUMAN_FIRST with accountability.,1,0,HUMAN_FIRST,1
T2,T2_M2,T2_M2_A3,106,4,director,0,Synthetic utterance raising a concern about trade-offs and risks under HUMAN_FIRST with accountability.,1,0,HUMAN_FIRST,1
T2,T2_M2,T2_M2_A3,107,5,director,0,Synthetic utterance offering neutral progress updates under HUMAN_FIRST with accountability.,0,0,HUMAN_FIRST,1
T2,T2_M2,T2_M2_A3,108,6,director,0,Synthetic utterance offering neutral progress updates under HUMAN_FIRST with accountability.,0,0,HUMAN_FIRST,1
T2,T2_M3,T2_M3_A1,109,1,director,0,Synthetic utterance offering neutral progress updates under AI_FIRST with accountability.,0,1,AI_FIRST,1
T2,T2_M3,T2_M3_A1,110,2,director,0,Synthetic utterance offering neutral progress updates under AI_FIRST with accountability.,0,1,AI_FIRST,1
T2,T2_M3,T2_M3_A1,111,3,senior_eng,0,Synthetic utterance offering neutral progress updates under AI_FIRST with accountability.,0,1,AI_FIRST,1
T2,T2_M3,T2_M3_A1,112,4,director,0,Synthetic utterance offering neutral progress updates under AI_FIRST with accountability.,0,1,AI_FIRST,1
T2,T2_M3,T2_M3_A1,113,5,senior_eng,0,Synthetic utterance offering neutral progress updates under AI_FIRST with accountability.,0,1,AI_FIRST,1
T2,T2_M3,T2_M3_A1,114,6,junior_eng,1,Synthetic utterance offering neutral progress updates under AI_FIRST with accountability.,0,1,AI_FIRST,1
T2,T2_M3,T2_M3_A2,115,1,junior_eng,1,Synthetic utterance offering neutral progress updates under AI_FIRST with accountability.,0,1,AI_FIRST,1
T2,T2_M3,T2_M3_A2,116,2,director,0,Synthetic utterance offering neutral progress updates under AI_FIRST with accountability.,0,1,AI_FIRST,1
T2,T2_M3,T2_M3_A2,117,3,director,0,Synthetic utterance offering neutral progress updates under AI_FIRST with accountability.,0,1,AI_FIRST,1
T2,T2_M3,T2_M3_A2,118,4,director,0,Synthetic utterance offering neutral progress updates under AI_FIRST with accountability.,0,1,AI_FIRST,1
T2,T2_M3,T2_M3_A2,119,5,junior_pm,1,Synthetic utterance offering neutral progress updates under AI_FIRST with accountability.,0,1,AI_FIRST,1
T2,T2_M3,T2_M3_A2,120,6,senior_eng,0,Synthetic utterance offering neutral progress updates under AI_FIRST with accountability.,0,1,AI_FIRST,1
T2,T2_M3,T2_M3_A3,121,1,junior_pm,1,Synthetic utterance offering neutral progress updates under AI_FIRST with accountability.,0,1,AI_FIRST,1
T2,T2_M3,T2_M3_A3,122,2,junior_eng,1,Synthetic utterance offering neutral progress updates under AI_FIRST with accountability.,0,1,AI_FIRST,1
T2,T2_M3,T2_M3_A3,123,3,senior_eng,0,Synthetic utterance offering neutral progress updates under AI_FIRST with accountability.,0,1,AI_FIRST,1
T2,T2_M3,T2_M3_A3,124,4,junior_eng,1,Synthetic utterance offering neutral progress updates under AI_FIRST with accountability.,0,1,AI_FIRST,1
T2,T2_M3,T2_M3_A3,125,5,director,0,Synthetic utterance offering neutral progress updates under AI_FIRST with accountability.,0,1,AI_FIRST,1
T2,T2_M3,T2_M3_A3,126,6,junior_eng,1,Synthetic utterance offering neutral progress updates under AI_FIRST with accountability.,0,1,AI_FIRST,1
T2,T2_M4,T2_M4_A1,127,1,director,0,Synthetic utterance offering neutral progress updates under AI_FIRST with accountability.,0,1,AI_FIRST,1
T2,T2_M4,T2_M4_A1,128,2,junior_eng,1,Synthetic utterance offering neutral progress updates under AI_FIRST with accountability.,0,1,AI_FIRST,1
T2,T2_M4,T2_M4_A1,129,3,director,0,Synthetic utterance offering neutral progress updates under AI_FIRST with accountability.,0,1,AI_FIRST,1
T2,T2_M4,T2_M4_A1,130,4,junior_pm,1,Synthetic utterance raising a concern about trade-offs and risks under AI_FIRST with accountability.,1,1,AI_FIRST,1
T2,T2_M4,T2_M4_A1,131,5,junior_pm,1,Synthetic utterance offering neutral progress updates under AI_FIRST with accountability.,0,1,AI_FIRST,1
T2,T2_M4,T2_M4_A1,132,6,junior_pm,1,Synthetic utterance offering neutral progress updates under AI_FIRST with accountability.,0,1,AI_FIRST,1
T2,T2_M4,T2_M4_A2,133,1,director,0,Synthetic utterance offering neutral progress updates under AI_FIRST with accountability.,0,1,AI_FIRST,1
T2,T2_M4,T2_M4_A2,134,2,junior_eng,1,Synthetic utterance raising a concern about trade-offs and risks under AI_FIRST with accountability.,1,1,AI_FIRST,1
T2,T2_M4,T2_M4_A2,135,3,senior_eng,0,Synthetic utterance offering neutral progress updates under AI_FIRST with accountability.,0,1,AI_FIRST,1
T2,T2_M4,T2_M4_A2,136,4,junior_eng,1,Synthetic utterance offering neutral progress updates under AI_FIRST with accountability.,0,1,AI_FIRST,1
T2,T2_M4,T2_M4_A2,137,5,director,0,Synthetic utterance offering neutral progress updates under AI_FIRST with accountability.,0,1,AI_FIRST,1
T2,T2_M4,T2_M4_A2,138,6,director,0,Synthetic utterance offering neutral progress updates under AI_FIRST with accountability.,0,1,AI_FIRST,1
T2,T2_M4,T2_M4_A3,139,1,director,0,Synthetic utterance offering neutral progress updates under AI_FIRST with accountability.,0,1,AI_FIRST,1
T2,T2_M4,T2_M4_A3,140,2,director,0,Synthetic utterance offering neutral progress updates under AI_FIRST with accountability.,0,1,AI_FIRST,1
T2,T2_M4,T2_M4_A3,141,3,junior_pm,1,Synthetic utterance offering neutral progress updates under AI_FIRST with accountability.,0,1,AI_FIRST,1
T2,T2_M4,T2_M4_A3,142,4,junior_pm,1,Synthetic utterance offering neutral progress updates under AI_FIRST with accountability.,0,1,AI_FIRST,1
T2,T2_M4,T2_M4_A3,143,5,junior_pm,1,Synthetic utterance offering neutral progress updates under AI_FIRST with accountability.,0,1,AI_FIRST,1
T2,T2_M4,T2_M4_A3,144,6,junior_pm,1,Synthetic utterance offering neutral progress updates under AI_FIRST with accountability.,0,1,AI_FIRST,1
T3,T3_M1,T3_M1_A1,145,1,junior_eng,1,Synthetic utterance raising a concern about trade-offs and risks under HUMAN_FIRST with no accountability.,1,0,HUMAN_FIRST,0
T3,T3_M1,T3_M1_A1,146,2,senior_eng,0,Synthetic utterance offering neutral progress updates under HUMAN_FIRST with no accountability.,0,0,HUMAN_FIRST,0
T3,T3_M1,T3_M1_A1,147,3,junior_eng,1,Synthetic utterance offering neutral progress updates under HUMAN_FIRST with no accountability.,0,0,HUMAN_FIRST,0
T3,T3_M1,T3_M1_A1,148,4,junior_pm,1,Synthetic utterance offering neutral progress updates under HUMAN_FIRST with no accountability.,0,0,HUMAN_FIRST,0
T3,T3_M1,T3_M1_A1,149,5,director,0,Synthetic utterance offering neutral progress updates under HUMAN_FIRST with no accountability.,0,0,HUMAN_FIRST,0
T3,T3_M1,T3_M1_A1,150,6,junior_pm,1,Synthetic utterance offering neutral progress updates under HUMAN_FIRST with no accountability.,0,0,HUMAN_FIRST,0
T3,T3_M1,T3_M1_A2,151,1,senior_eng,0,Synthetic utterance offering neutral progress updates under HUMAN_FIRST with no accountability.,0,0,HUMAN_FIRST,0
T3,T3_M1,T3_M1_A2,152,2,senior_eng,0,Synthetic utterance offering neutral progress updates under HUMAN_FIRST with no accountability.,0,0,HUMAN_FIRST,0
T3,T3_M1,T3_M1_A2,153,3,junior_eng,1,Synthetic utterance offering neutral progress updates under HUMAN_FIRST with no accountability.,0,0,HUMAN_FIRST,0
T3,T3_M1,T3_M1_A2,154,4,junior_pm,1,Synthetic utterance offering neutral progress updates under HUMAN_FIRST with no accountability.,0,0,HUMAN_FIRST,0
T3,T3_M1,T3_M1_A2,155,5,director,0,Synthetic utterance offering neutral progress updates under HUMAN_FIRST with no accountability.,0,0,HUMAN_FIRST,0
T3,T3_M1,T3_M1_A2,156,6,director,0,Synthetic utterance offering neutral progress updates under HUMAN_FIRST with no accountability.,0,0,HUMAN_FIRST,0
T3,T3_M1,T3_M1_A3,157,1,junior_pm,1,Synthetic utterance offering neutral progress updates under HUMAN_FIRST with no accountability.,0,0,HUMAN_FIRST,0
T3,T3_M1,T3_M1_A3,158,2,director,0,Synthetic utterance offering neutral progress updates under HUMAN_FIRST with no accountability.,0,0,HUMAN_FIRST,0
T3,T3_M1,T3_M1_A3,159,3,senior_eng,0,Synthetic utterance offering neutral progress updates under HUMAN_FIRST with no accountability.,0,0,HUMAN_FIRST,0
T3,T3_M1,T3_M1_A3,160,4,junior_eng,1,Synthetic utterance raising a concern about trade-offs and risks under HUMAN_FIRST with no accountability.,1,0,HUMAN_FIRST,0
T3,T3_M1,T3_M1_A3,161,5,director,0,Synthetic utterance offering neutral progress updates under HUMAN_FIRST with no accountability.,0,0,HUMAN_FIRST,0
T3,T3_M1,T3_M1_A3,162,6,senior_eng,0,Synthetic utterance offering neutral progress updates under HUMAN_FIRST with no accountability.,0,0,HUMAN_FIRST,0
T3,T3_M2,T3_M2_A1,163,1,senior_eng,0,Synthetic utterance offering neutral progress updates under HUMAN_FIRST with no accountability.,0,0,HUMAN_FIRST,0
T3,T3_M2,T3_M2_A1,164,2,junior_pm,1,Synthetic utterance offering neutral progress updates under HUMAN_FIRST with no accountability.,0,0,HUMAN_FIRST,0
T3,T3_M2,T3_M2_A1,165,3,junior_eng,1,Synthetic utterance raising a concern about trade-offs and risks under HUMAN_FIRST with no accountability.,1,0,HUMAN_FIRST,0
T3,T3_M2,T3_M2_A1,166,4,junior_eng,1,Synthetic utterance offering neutral progress updates under HUMAN_FIRST with no accountability.,0,0,HUMAN_FIRST,0
T3,T3_M2,T3_M2_A1,167,5,senior_eng,0,Synthetic utterance offering neutral progress updates under HUMAN_FIRST with no accountability.,0,0,HUMAN_FIRST,0
T3,T3_M2,T3_M2_A1,168,6,junior_pm,1,Synthetic utterance offering neutral progress updates under HUMAN_FIRST with no accountability.,0,0,HUMAN_FIRST,0
T3,T3_M2,T3_M2_A2,169,1,junior_pm,1,Synthetic utterance offering neutral progress updates under HUMAN_FIRST with no accountability.,0,0,HUMAN_FIRST,0
T3,T3_M2,T3_M2_A2,170,2,director,0,Synthetic utterance offering neutral progress updates under HUMAN_FIRST with no accountability.,0,0,HUMAN_FIRST,0
T3,T3_M2,T3_M2_A2,171,3,junior_eng,1,Synthetic utterance offering neutral progress updates under HUMAN_FIRST with no accountability.,0,0,HUMAN_FIRST,0
T3,T3_M2,T3_M2_A2,172,4,junior_eng,1,Synthetic utterance offering neutral progress updates under HUMAN_FIRST with no accountability.,0,0,HUMAN_FIRST,0
T3,T3_M2,T3_M2_A2,173,5,junior_eng,1,Synthetic utterance raising a concern about trade-offs and risks under HUMAN_FIRST with no accountability.,1,0,HUMAN_FIRST,0
T3,T3_M2,T3_M2_A2,174,6,director,0,Synthetic utterance offering neutral progress updates under HUMAN_FIRST with no accountability.,0,0,HUMAN_FIRST,0
T3,T3_M2,T3_M2_A3,175,1,junior_pm,1,Synthetic utterance offering neutral progress updates under HUMAN_FIRST with no accountability.,0,0,HUMAN_FIRST,0
T3,T3_M2,T3_M2_A3,176,2,junior_eng,1,Synthetic utterance raising a concern about trade-offs and risks under HUMAN_FIRST with no accountability.,1,0,HUMAN_FIRST,0
T3,T3_M2,T3_M2_A3,177,3,junior_eng,1,Synthetic utterance offering neutral progress updates under HUMAN_FIRST with no accountability.,0,0,HUMAN_FIRST,0
